age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,ModelPrediction,y
43,blue-collar,married,basic.4y,no,yes,no,telephone,jun,wed,28,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.961857014,no
46,blue-collar,married,professional.course,unknown,no,no,telephone,jun,wed,1138,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.966988628,no
45,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,wed,107,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.969237244,no
31,admin.,married,high.school,unknown,yes,yes,telephone,jun,wed,135,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.967455056,no
39,services,married,high.school,unknown,yes,no,telephone,jun,wed,96,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.970151747,no
31,technician,married,professional.course,no,yes,no,telephone,jun,wed,131,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.953828405,no
34,management,married,university.degree,unknown,no,yes,telephone,jun,wed,46,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.962990613,no
46,blue-collar,married,basic.6y,no,yes,no,telephone,jun,wed,267,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.958818925,no
30,blue-collar,married,basic.4y,no,yes,no,telephone,jun,wed,213,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.963378284,no
30,student,single,high.school,no,no,no,telephone,jun,wed,1242,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.946283416,yes
37,technician,single,high.school,no,unknown,unknown,telephone,jun,wed,109,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.951492512,no
38,unknown,married,basic.6y,no,no,no,telephone,jun,wed,75,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.955378693,no
41,admin.,married,university.degree,no,no,no,telephone,jun,wed,129,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.948475393,no
48,admin.,divorced,high.school,no,no,no,telephone,jun,wed,89,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.951227905,no
39,blue-collar,married,basic.9y,no,unknown,unknown,telephone,jun,wed,103,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.965941612,no
41,self-employed,married,basic.4y,no,yes,no,telephone,jun,wed,105,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.956312226,no
57,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,wed,71,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.969719126,no
31,blue-collar,married,basic.6y,no,yes,no,telephone,jun,wed,406,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.961846561,no
41,unknown,single,unknown,unknown,yes,yes,telephone,jun,wed,66,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.960169728,no
54,admin.,divorced,unknown,unknown,no,no,telephone,jun,wed,38,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.957921349,no
42,blue-collar,single,basic.4y,no,no,no,telephone,jun,wed,166,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.953583437,no
32,blue-collar,married,professional.course,no,yes,no,telephone,jun,wed,67,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.961117809,no
47,admin.,divorced,university.degree,no,no,no,telephone,jun,wed,121,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.94550521,no
26,unknown,single,high.school,unknown,yes,yes,telephone,jun,wed,524,15,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.975438391,yes
39,admin.,married,high.school,no,yes,no,telephone,jun,wed,1141,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.956405049,yes
36,entrepreneur,married,basic.6y,unknown,no,no,telephone,jun,wed,125,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.968235219,no
26,blue-collar,single,basic.6y,no,no,no,telephone,jun,wed,18,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.955643365,no
32,blue-collar,single,university.degree,no,no,no,telephone,jun,wed,355,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.949524563,no
29,unemployed,married,high.school,unknown,no,no,telephone,jun,wed,237,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.966976859,no
30,admin.,married,university.degree,no,yes,no,telephone,jun,wed,299,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.948198109,no
38,admin.,single,university.degree,no,no,yes,telephone,jun,wed,578,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.939109507,yes
25,admin.,single,high.school,no,yes,yes,telephone,jun,wed,109,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.951182184,no
33,admin.,married,university.degree,no,no,no,telephone,jun,wed,142,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.947942223,no
41,technician,married,basic.9y,unknown,no,no,telephone,jun,wed,102,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.964614471,no
31,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,wed,233,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.970624725,no
29,admin.,married,high.school,no,yes,no,telephone,jun,wed,194,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.956394419,no
42,admin.,married,basic.6y,no,yes,yes,telephone,jun,wed,365,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.951454097,no
35,admin.,single,high.school,no,no,no,telephone,jun,wed,984,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.947806378,yes
60,admin.,married,high.school,no,no,yes,telephone,jun,wed,16,8,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.956712441,no
48,admin.,married,high.school,no,yes,yes,telephone,jun,wed,105,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.952063224,no
58,blue-collar,divorced,unknown,no,yes,no,telephone,jun,wed,215,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.952650693,no
46,admin.,married,high.school,no,yes,yes,telephone,jun,wed,148,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.962277438,no
30,services,single,professional.course,no,no,no,telephone,jun,wed,386,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.95132928,no
31,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,wed,91,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.972107959,no
34,admin.,single,university.degree,no,no,no,telephone,jun,wed,98,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.938713089,no
37,admin.,divorced,university.degree,no,no,no,telephone,jun,wed,193,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.945492074,no
24,student,single,high.school,no,no,no,telephone,jun,wed,132,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.947877402,no
58,services,married,basic.4y,no,yes,no,telephone,jun,wed,279,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.952860264,no
59,retired,married,professional.course,no,yes,no,telephone,jun,wed,109,9,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.952864761,no
36,entrepreneur,married,university.degree,no,yes,no,telephone,jun,wed,1045,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.94960353,no
28,management,single,university.degree,no,no,no,telephone,jun,wed,361,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.943123759,no
31,blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,204,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.96291064,no
23,blue-collar,single,basic.9y,no,yes,no,telephone,jun,wed,83,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.959840331,no
34,technician,divorced,basic.9y,no,no,no,telephone,jun,wed,105,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.953849974,no
40,admin.,married,high.school,no,yes,yes,telephone,jun,wed,73,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.963415167,no
46,technician,married,professional.course,unknown,yes,no,telephone,jun,wed,77,8,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.967546259,no
25,blue-collar,married,high.school,no,no,yes,telephone,jun,wed,29,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.964072874,no
33,admin.,married,university.degree,no,yes,no,telephone,jun,wed,355,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.947411382,no
26,technician,single,professional.course,no,yes,no,telephone,jun,wed,153,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.947196519,no
32,admin.,single,university.degree,no,yes,yes,telephone,jun,wed,87,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.941782495,no
50,admin.,single,university.degree,no,no,no,telephone,jun,wed,178,6,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.941436222,no
32,admin.,single,university.degree,no,no,yes,telephone,jun,wed,174,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.940903077,no
26,technician,single,professional.course,no,yes,no,telephone,jun,wed,605,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.947196519,no
34,admin.,married,high.school,no,no,no,telephone,jun,wed,638,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.953421605,yes
31,services,single,high.school,no,yes,no,telephone,jun,wed,89,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.954473224,no
34,management,married,university.degree,no,no,no,telephone,jun,wed,121,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.949989042,no
31,services,single,high.school,no,yes,yes,telephone,jun,wed,216,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.95567947,no
26,blue-collar,single,basic.6y,no,no,no,telephone,jun,wed,83,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.9567587,no
42,blue-collar,married,basic.4y,unknown,yes,yes,telephone,jun,wed,317,9,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.975413213,no
26,management,single,basic.9y,no,yes,no,telephone,jun,wed,184,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.953052574,no
27,self-employed,single,university.degree,no,yes,yes,telephone,jun,wed,161,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.946825972,no
30,blue-collar,married,high.school,no,no,no,telephone,jun,wed,301,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.962132301,no
50,admin.,married,high.school,no,no,no,telephone,jun,wed,276,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.949506788,no
55,retired,divorced,professional.course,no,no,no,telephone,jun,wed,182,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.941104649,no
50,self-employed,married,basic.9y,unknown,no,no,telephone,jun,wed,139,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.965895107,no
52,retired,married,basic.4y,no,no,yes,telephone,jun,wed,87,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.94887296,no
36,blue-collar,single,basic.9y,no,no,no,telephone,jun,wed,377,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.956439352,no
29,admin.,single,high.school,no,no,no,telephone,jun,wed,211,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.94806172,no
36,blue-collar,married,basic.4y,no,no,no,telephone,jun,wed,357,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.962626522,no
26,admin.,married,high.school,no,yes,yes,telephone,jun,wed,119,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.958193743,no
25,admin.,married,high.school,no,yes,no,telephone,jun,wed,264,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.957270212,no
45,self-employed,single,high.school,no,no,no,telephone,jun,wed,165,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.947299914,no
28,blue-collar,single,high.school,no,yes,yes,telephone,jun,wed,148,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.958854946,no
31,blue-collar,divorced,basic.9y,no,yes,yes,telephone,jun,wed,121,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.964426407,no
27,student,single,university.degree,unknown,yes,no,telephone,jun,wed,235,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.955422164,no
32,services,married,high.school,no,no,no,telephone,jun,wed,90,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.960430601,no
57,blue-collar,married,basic.9y,no,yes,yes,telephone,jun,wed,367,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.960436418,no
27,blue-collar,single,basic.6y,no,yes,yes,telephone,jun,wed,444,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.959384002,no
39,blue-collar,married,basic.6y,no,yes,yes,telephone,jun,wed,141,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.960315976,no
50,technician,married,professional.course,unknown,yes,yes,telephone,jun,wed,31,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.961410839,no
29,admin.,single,high.school,no,no,no,telephone,jun,wed,283,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.94806172,no
31,blue-collar,single,basic.9y,no,no,no,telephone,jun,wed,767,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.95860032,yes
25,services,single,high.school,no,no,no,telephone,jun,wed,123,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.955158284,no
38,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,wed,236,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.968754028,no
38,blue-collar,single,high.school,unknown,yes,no,telephone,jun,wed,936,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.966237477,yes
49,housemaid,divorced,basic.6y,no,yes,no,telephone,jun,wed,85,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.952223621,no
53,technician,married,professional.course,unknown,yes,no,telephone,jun,wed,104,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.960760615,no
35,student,single,high.school,no,no,no,telephone,jun,wed,71,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.94893365,no
32,admin.,married,university.degree,no,no,no,telephone,jun,wed,525,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.948203197,yes
30,services,single,high.school,unknown,no,no,telephone,jun,wed,324,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.965067525,no
28,blue-collar,single,basic.9y,no,yes,no,telephone,jun,wed,525,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.958806094,no
33,admin.,single,university.degree,no,yes,yes,telephone,jun,wed,238,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.941491167,no
33,unemployed,married,basic.9y,no,no,no,telephone,jun,wed,563,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.956731245,yes
25,admin.,single,high.school,no,yes,yes,telephone,jun,wed,217,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.952404107,no
25,student,single,high.school,no,no,yes,telephone,jun,wed,433,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.950266977,no
32,housemaid,married,university.degree,no,yes,no,telephone,jun,wed,52,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.950388822,no
25,admin.,married,university.degree,no,yes,no,telephone,jun,wed,149,8,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.957713087,no
31,admin.,single,university.degree,no,yes,no,telephone,jun,wed,357,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.941991481,no
42,admin.,divorced,university.degree,no,no,no,telephone,jun,wed,140,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.942687794,no
45,management,married,unknown,unknown,yes,no,telephone,jun,wed,171,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.964099386,no
52,blue-collar,married,basic.4y,no,no,no,telephone,jun,wed,154,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.957328782,no
26,student,single,high.school,no,no,no,telephone,jun,wed,219,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.947351104,no
40,housemaid,divorced,high.school,no,no,no,telephone,jun,wed,1449,6,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.958870166,yes
29,admin.,single,university.degree,no,no,yes,telephone,jun,wed,251,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.941781186,no
31,blue-collar,married,high.school,no,no,no,telephone,jun,wed,544,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.96193869,no
53,management,married,university.degree,no,unknown,unknown,telephone,jun,wed,232,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.946229635,no
36,blue-collar,married,basic.9y,no,no,yes,telephone,jun,wed,920,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.962968111,yes
56,admin.,married,university.degree,no,no,no,telephone,jun,wed,79,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.940104113,no
48,blue-collar,married,basic.9y,no,yes,no,telephone,jun,wed,103,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.961174267,no
32,services,married,high.school,unknown,yes,no,telephone,jun,wed,833,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.970453575,no
27,technician,single,university.degree,no,no,yes,telephone,jun,wed,97,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.942910583,no
26,admin.,single,high.school,no,no,no,telephone,jun,wed,205,6,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.954930375,no
31,admin.,married,high.school,no,unknown,unknown,telephone,jun,wed,360,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.957399839,no
35,blue-collar,married,high.school,no,no,no,telephone,jun,wed,344,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.962136944,no
56,housemaid,married,basic.4y,no,no,no,telephone,jun,wed,204,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.949019049,no
34,technician,divorced,basic.9y,no,no,no,telephone,jun,wed,156,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.95613885,no
39,admin.,single,high.school,no,no,no,telephone,jun,wed,213,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.945388586,no
31,admin.,married,university.degree,no,yes,no,telephone,jun,wed,153,6,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.954130456,no
49,admin.,married,university.degree,no,no,no,telephone,jun,wed,29,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.943594121,no
42,services,married,basic.9y,no,no,no,telephone,jun,wed,15,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.958375896,no
41,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,wed,38,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.968594079,no
37,blue-collar,married,basic.6y,no,no,no,telephone,jun,wed,654,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.960055718,no
51,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,wed,1254,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.974205468,no
39,admin.,single,high.school,no,no,no,telephone,jun,wed,139,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.946747405,no
41,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,wed,81,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.968594079,no
53,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,wed,597,7,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.971830995,no
32,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,wed,228,8,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.9753715,no
50,housemaid,divorced,high.school,unknown,yes,no,telephone,jun,wed,763,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.965948005,no
25,unknown,single,university.degree,no,no,no,telephone,jun,wed,2203,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.945898503,yes
45,management,married,unknown,unknown,yes,no,telephone,jun,wed,61,6,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.966764551,no
61,retired,married,high.school,no,unknown,unknown,telephone,jun,wed,99,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.950598783,no
51,unemployed,married,basic.4y,no,no,yes,telephone,jun,wed,85,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.955807448,no
33,admin.,single,high.school,no,no,no,telephone,jun,wed,187,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.948328374,no
25,admin.,single,university.degree,no,no,no,telephone,jun,wed,188,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.942853113,no
23,blue-collar,married,basic.9y,no,yes,no,telephone,jun,wed,298,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.96669679,no
35,admin.,married,high.school,no,no,no,telephone,jun,wed,113,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.954359808,no
29,unemployed,single,university.degree,no,yes,no,telephone,jun,wed,201,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.944955749,no
42,blue-collar,married,basic.9y,no,yes,no,telephone,jun,wed,264,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.962343965,no
32,admin.,single,high.school,no,yes,no,telephone,jun,wed,23,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.949358739,no
37,unemployed,married,professional.course,unknown,no,no,telephone,jun,wed,42,16,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.975267585,no
38,admin.,married,high.school,no,no,no,telephone,jun,wed,180,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.953662086,no
41,entrepreneur,married,basic.4y,no,yes,no,telephone,jun,wed,95,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.9548138,no
40,blue-collar,married,basic.4y,no,no,no,telephone,jun,wed,69,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.958814133,no
32,admin.,single,high.school,no,no,no,telephone,jun,wed,324,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.947273037,no
50,admin.,married,high.school,unknown,no,no,telephone,jun,wed,144,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.961604092,no
27,blue-collar,single,basic.9y,no,no,no,telephone,jun,wed,298,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.959433688,no
36,blue-collar,single,basic.9y,no,unknown,unknown,telephone,jun,wed,1224,7,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.964420784,no
45,services,married,basic.6y,no,unknown,unknown,telephone,jun,wed,173,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.965752937,no
35,technician,single,professional.course,no,yes,no,telephone,jun,wed,134,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.946132372,no
30,services,single,high.school,no,no,no,telephone,jun,wed,245,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.954009247,no
36,admin.,married,basic.9y,no,no,no,telephone,jun,wed,121,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.956414284,no
26,blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,49,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.963845712,no
26,admin.,married,high.school,no,no,no,telephone,jun,wed,606,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.956393423,no
32,blue-collar,married,basic.4y,no,no,no,telephone,jun,wed,489,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.964309956,no
29,admin.,single,high.school,no,yes,no,telephone,jun,wed,184,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.950117868,no
26,self-employed,married,university.degree,no,yes,no,telephone,jun,wed,106,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.952474309,no
46,blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,91,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.960975061,no
39,technician,married,professional.course,no,no,no,telephone,jun,wed,249,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.951190236,no
46,blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,92,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.960975061,no
27,unemployed,single,university.degree,no,no,no,telephone,jun,wed,404,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.94467812,no
32,admin.,married,university.degree,no,no,no,telephone,jun,wed,135,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.949495725,no
48,admin.,divorced,professional.course,no,yes,no,telephone,jun,wed,37,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.946536313,no
42,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,wed,141,6,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.973865845,no
32,technician,married,professional.course,no,no,no,telephone,jun,wed,117,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.951674253,no
23,services,single,high.school,no,no,no,telephone,jun,wed,174,9,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.96382012,no
35,unemployed,married,basic.9y,unknown,unknown,unknown,telephone,jun,wed,60,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.970768544,no
59,retired,married,basic.6y,unknown,no,no,telephone,jun,wed,235,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.960262827,no
27,blue-collar,married,basic.9y,no,yes,yes,telephone,jun,wed,285,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.967759969,no
53,admin.,divorced,university.degree,no,yes,no,telephone,jun,wed,112,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.940354437,no
50,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,wed,99,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.967946564,no
41,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,wed,132,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.969394201,no
52,management,divorced,university.degree,no,no,no,telephone,jun,wed,208,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.946580446,no
36,entrepreneur,married,university.degree,no,yes,yes,telephone,jun,wed,135,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.950932167,no
27,services,single,high.school,no,yes,no,telephone,jun,wed,179,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.955385803,no
38,admin.,single,university.degree,no,yes,no,telephone,jun,wed,126,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0.938408786,no
